iter	Passed	Remaining
0	0	48
1	0	47
2	1	45
3	1	40
4	2	39
5	2	42
6	3	40
7	3	40
8	4	40
9	4	40
10	4	39
11	5	38
12	6	41
13	6	41
14	7	41
15	7	41
16	8	42
17	9	41
18	9	41
19	10	41
20	11	41
21	11	41
22	12	40
23	12	39
24	13	39
25	13	38
26	13	37
27	14	36
28	14	35
29	15	35
30	15	34
31	15	33
32	16	32
33	16	32
34	17	31
35	17	31
36	18	30
37	18	30
38	18	29
39	19	28
40	19	28
41	19	27
42	20	26
43	20	26
44	21	26
45	21	25
46	23	26
47	23	25
48	24	25
49	25	25
50	25	24
51	27	24
52	27	24
53	28	24
54	28	23
55	29	23
56	30	22
57	30	22
58	31	21
59	32	21
60	32	21
61	34	20
62	34	20
63	35	19
64	35	19
65	35	18
66	36	17
67	37	17
68	39	17
69	39	17
70	40	16
71	41	16
72	43	15
73	43	15
74	44	14
75	45	14
76	45	13
77	46	13
78	46	12
79	47	11
80	48	11
81	48	10
82	49	10
83	51	9
84	52	9
85	53	8
86	54	8
87	54	7
88	55	6
89	56	6
90	57	5
91	57	5
92	58	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	60	0
99	61	0
