iter	Passed	Remaining
0	58	58906
1	59	29598
2	59	19813
3	59	14925
4	60	12010
5	60	10054
6	60	8650
7	61	7597
8	61	6780
9	61	6128
10	62	5592
11	62	5144
12	62	4763
13	63	4441
14	63	4162
15	63	3918
16	64	3700
17	64	3506
18	64	3334
19	64	3179
20	65	3037
21	65	2909
22	65	2792
23	66	2686
24	66	2588
25	66	2497
26	66	2414
27	67	2335
28	67	2262
29	67	2195
30	68	2131
31	68	2073
32	68	2018
33	69	1965
34	69	1914
35	69	1867
36	70	1823
37	70	1780
38	70	1740
39	70	1702
40	71	1666
41	71	1631
42	71	1598
43	72	1566
44	72	1536
45	72	1507
46	72	1479
47	73	1453
48	73	1427
49	73	1403
50	74	1379
51	74	1356
52	74	1334
53	75	1314
54	75	1295
55	75	1275
56	75	1256
57	76	1238
58	76	1220
59	76	1202
60	77	1186
61	77	1170
62	77	1154
63	77	1138
64	78	1124
65	78	1109
66	78	1095
67	79	1083
68	79	1069
69	79	1057
70	79	1044
71	80	1033
72	80	1021
73	80	1009
74	80	998
75	81	988
76	81	977
77	81	967
78	82	957
79	82	948
80	82	939
81	83	929
82	83	918
83	83	910
84	83	902
85	84	893
86	84	885
87	84	877
88	84	869
89	85	861
90	85	854
91	85	846
92	86	839
93	86	832
94	86	825
95	86	818
96	87	811
97	87	804
98	87	798
99	88	792
100	88	786
101	88	780
102	88	774
103	89	768
104	89	762
105	89	757
106	90	751
107	90	746
108	90	741
109	90	735
110	91	730
111	91	725
112	91	720
113	92	715
114	92	710
115	92	705
116	92	700
117	93	695
118	93	691
119	93	686
120	93	682
121	94	677
122	94	673
123	94	668
124	94	664
125	95	660
126	95	656
127	95	652
128	96	648
129	96	644
130	96	640
131	96	637
132	97	633
133	97	629
134	97	625
135	97	622
136	98	619
137	98	615
138	98	612
139	99	609
140	99	606
141	99	602
142	99	598
143	100	595
144	100	592
145	100	589
146	100	586
147	101	582
148	101	579
149	101	576
150	102	573
151	102	570
152	102	568
153	102	565
154	103	562
155	103	559
156	103	556
157	103	554
158	104	551
159	104	548
160	104	545
161	104	542
162	105	540
163	105	537
164	105	535
165	106	532
166	106	530
167	106	528
168	106	525
169	107	523
170	107	521
171	107	518
172	108	516
173	108	514
174	108	511
175	108	509
176	109	507
177	109	505
178	109	503
179	109	501
180	110	499
181	110	497
182	110	494
183	111	492
184	111	490
185	111	488
186	111	486
187	112	484
188	112	482
189	112	480
190	112	478
191	113	476
192	113	474
193	113	472
194	114	471
195	114	469
196	114	467
197	114	465
198	115	463
199	115	462
200	115	460
201	116	458
202	116	456
203	116	455
204	116	453
205	117	451
206	117	450
207	117	448
208	118	446
209	118	445
210	118	443
211	118	441
212	119	440
213	119	438
214	119	436
215	119	435
216	120	433
217	120	432
218	120	430
219	121	429
220	121	427
221	121	426
222	121	425
223	122	423
224	122	422
225	122	420
226	123	419
227	123	418
228	123	417
229	124	415
230	124	414
231	124	412
232	125	411
233	125	410
234	125	408
235	125	407
236	126	405
237	126	404
238	126	403
239	126	401
240	127	400
241	127	399
242	127	397
243	127	396
244	128	395
245	128	393
246	128	392
247	129	391
248	129	389
249	129	388
250	129	387
251	130	386
252	130	385
253	130	383
254	130	382
255	131	381
256	131	380
257	131	379
258	132	377
259	132	376
260	132	375
261	132	374
262	133	373
263	133	372
264	133	370
265	133	369
266	134	368
267	134	367
268	134	366
269	135	365
270	135	364
271	135	363
272	136	362
273	136	361
274	136	360
275	136	359
276	137	358
277	137	357
278	137	356
279	138	355
280	138	354
281	138	353
282	138	351
283	139	351
284	139	349
285	139	348
286	140	347
287	140	346
288	140	345
289	140	344
290	141	343
291	141	342
292	141	341
293	142	340
294	142	340
295	142	338
296	142	337
297	143	337
298	143	336
299	143	335
300	144	334
301	144	333
302	144	332
303	144	331
304	145	330
305	145	329
306	145	329
307	145	328
308	146	327
309	146	326
310	146	325
311	147	324
312	147	323
313	147	322
314	147	321
315	148	320
316	148	319
317	148	319
318	149	318
319	149	317
320	149	316
321	149	315
322	150	314
323	150	313
324	150	313
325	150	312
326	151	311
327	151	310
328	151	309
329	152	308
330	152	308
331	152	307
332	153	306
333	153	305
334	153	304
335	153	304
336	154	303
337	154	302
338	154	301
339	155	300
340	155	300
341	155	299
342	155	298
343	156	297
344	156	296
345	156	296
346	156	295
347	157	294
348	157	293
349	157	293
350	158	292
351	158	291
352	158	290
353	158	290
354	159	289
355	159	288
356	159	287
357	160	287
358	160	286
359	160	285
360	160	284
361	161	284
362	161	283
363	161	282
364	162	281
365	162	281
366	162	280
367	162	279
368	163	278
369	163	278
370	163	277
371	163	276
372	164	276
373	164	275
374	164	274
375	165	274
376	165	273
377	165	272
378	166	272
379	166	271
380	166	270
381	166	270
382	167	269
383	167	268
384	167	267
385	168	267
386	168	266
387	168	265
388	168	265
389	169	264
390	169	263
391	169	263
392	170	262
393	170	261
394	170	261
395	170	260
396	171	259
397	171	259
398	171	258
399	171	257
400	172	257
401	172	256
402	172	255
403	173	255
404	173	254
405	173	253
406	173	253
407	174	252
408	174	251
409	174	251
410	174	250
411	175	250
412	175	249
413	175	248
414	176	248
415	176	247
416	176	247
417	176	246
418	177	245
419	177	245
420	177	244
421	178	243
422	178	243
423	178	242
424	178	241
425	179	241
426	179	240
427	179	240
428	179	239
429	180	238
430	180	238
431	180	237
432	181	237
433	181	236
434	181	235
435	181	235
436	182	234
437	182	234
438	182	233
439	182	232
440	183	232
441	183	231
442	183	231
443	184	230
444	184	229
445	184	229
446	184	228
447	185	228
448	185	227
449	185	227
450	186	226
451	186	225
452	186	225
453	186	224
454	187	224
455	187	223
456	187	223
457	188	222
458	188	222
459	188	221
460	189	221
461	189	220
462	189	219
463	189	219
464	190	218
465	190	218
466	190	217
467	191	217
468	191	216
469	191	216
470	192	215
471	192	215
472	192	214
473	193	214
474	193	214
475	194	213
476	194	213
477	194	212
478	194	211
479	195	211
480	195	210
481	195	210
482	196	209
483	196	209
484	196	208
485	196	208
486	197	207
487	197	207
488	197	206
489	197	206
490	198	205
491	198	204
492	198	204
493	199	203
494	199	203
495	199	202
496	200	202
497	200	201
498	200	201
499	200	200
500	201	200
501	201	199
502	201	199
503	201	198
504	202	198
505	202	197
506	202	197
507	203	196
508	203	196
509	203	195
510	203	195
511	204	194
512	204	194
513	204	193
514	204	193
515	205	192
516	205	191
517	205	191
518	206	191
519	206	190
520	206	189
521	206	189
522	207	189
523	207	188
524	207	188
525	208	187
526	208	187
527	208	186
528	208	186
529	209	185
530	209	185
531	209	184
532	210	184
533	210	183
534	210	183
535	210	182
536	211	182
537	211	181
538	211	181
539	211	180
540	212	180
541	212	179
542	212	179
543	213	178
544	213	178
545	213	177
546	213	177
547	214	176
548	214	176
549	214	175
550	215	175
551	215	174
552	215	174
553	215	173
554	216	173
555	216	172
556	216	172
557	217	171
558	217	171
559	217	170
560	217	170
561	218	170
562	218	169
563	218	169
564	219	168
565	219	168
566	219	167
567	219	167
568	220	166
569	220	166
570	220	165
571	220	165
572	221	164
573	221	164
574	221	163
575	221	163
576	222	162
577	222	162
578	222	162
579	223	161
580	223	161
581	223	160
582	223	160
583	224	159
584	224	159
585	224	158
586	225	158
587	225	157
588	225	157
589	225	156
590	226	156
591	226	156
592	226	155
593	226	155
594	227	154
595	227	154
596	227	153
597	228	153
598	228	152
599	228	152
600	228	151
601	229	151
602	229	151
603	229	150
604	230	150
605	230	149
606	230	149
607	230	148
608	231	148
609	231	148
610	231	147
611	232	147
612	232	146
613	232	146
614	232	145
615	233	145
616	233	144
617	233	144
618	233	144
619	234	143
620	234	143
621	234	142
622	235	142
623	235	141
624	235	141
625	235	140
626	236	140
627	236	140
628	236	139
629	237	139
630	237	138
631	237	138
632	237	137
633	238	137
634	238	137
635	238	136
636	238	136
637	239	135
638	239	135
639	239	134
640	240	134
641	240	133
642	240	133
643	240	133
644	241	132
645	241	132
646	241	131
647	242	131
648	242	131
649	242	130
650	242	130
651	243	129
652	243	129
653	243	128
654	243	128
655	244	128
656	244	127
657	244	127
658	245	126
659	245	126
660	245	126
661	246	125
662	246	125
663	246	124
664	246	124
665	247	123
666	247	123
667	247	123
668	247	122
669	248	122
670	248	121
671	248	121
672	249	120
673	249	120
674	249	120
675	249	119
676	250	119
677	250	118
678	250	118
679	250	118
680	251	117
681	251	117
682	251	116
683	252	116
684	252	116
685	252	115
686	252	115
687	253	114
688	253	114
689	253	114
690	254	113
691	254	113
692	254	112
693	254	112
694	255	111
695	255	111
696	255	111
697	255	110
698	256	110
699	256	109
700	256	109
701	257	109
702	257	108
703	257	108
704	257	107
705	258	107
706	258	107
707	258	106
708	258	106
709	259	105
710	259	105
711	259	105
712	259	104
713	260	104
714	260	103
715	260	103
716	261	103
717	261	102
718	261	102
719	262	101
720	262	101
721	262	101
722	262	100
723	263	100
724	263	99
725	263	99
726	264	99
727	264	98
728	264	98
729	264	97
730	265	97
731	265	97
732	265	96
733	265	96
734	266	95
735	266	95
736	266	95
737	267	94
738	267	94
739	267	94
740	267	93
741	268	93
742	268	92
743	268	92
744	268	92
745	269	91
746	269	91
747	269	90
748	270	90
749	270	90
750	270	89
751	270	89
752	271	88
753	271	88
754	271	88
755	272	87
756	272	87
757	272	87
758	272	86
759	273	86
760	273	85
761	273	85
762	273	85
763	274	84
764	274	84
765	274	83
766	275	83
767	275	83
768	275	82
769	275	82
770	276	82
771	276	81
772	276	81
773	277	80
774	277	80
775	277	80
776	277	79
777	278	79
778	278	78
779	278	78
